,healthy,,,,,,,,,,,,,,,unhealthy,,,,,,,,,,,,,,,,,,
Country,"Aquatic Products, Other",Offals,"Fish, Seafood","[Aquatic Products, Other] + [Offals] + [Fish, Seafood]",Cereals - Excluding Beer,Eggs,Milk - Excluding Butter,[Eggs] + [Milk - Excluding Butter],Fruits - Excluding Wine,Pulses,Starchy Roots,Treenuts,Vegetables,Vegetal Products,[Vegetables] + [Vegetal Products],Animal fats,Animal Products,Meat,[Animal fats] + [Animal Products] + [Meat],Oilcrops,Vegetable Oils,[Oilcrops] + [Vegetable Oils],Sugar & Sweeteners,Sugar Crops,[Sugar & Sweeteners] + [Sugar Crops],Obesity,Undernourished,*Undernourished,Confirmed,Deaths,Confirmed (%),Deaths (%),Population,Unit (all except Population)
Honduras,0,0.1505,0.3339,0.4844,14.1699,0.4601,9.0154,9.4755,6.8464,1.3962,0.6796,0.0276,2.6599,36.3883,39.0482,0.1378,13.6048,3.508,17.2506,0.1749,1.2467,1.4216,5.9591,0,5.9591,19.4,12.9,12.9,"375,381","10,239",0.038,0.001,9864000,%
Hungary,7.00E-04,0.0052,0.4113,0.4172,7.5908,0.8885,12.4568,13.3453,3.0852,0.1906,3.046,0.0183,5.6788,29.9644,35.6432,1.0595,20.0268,5.2042,26.2905,0.0679,0.7214,0.7893,2.5433,0,2.5433,28.6,<2.5,2,"863,419","30,729",0.088,0.003,9767000,%
Iceland,0.0025,0.2232,4.6117,4.8374,4.1196,0.5557,13.0028,13.5585,4.8405,0.0376,1.9909,0.0752,3.6874,26.0331,29.7205,0.9461,23.97,4.6269,29.543,0.1759,0.4667,0.6426,3.9472,0,3.9472,23.1,<2.5,2,"13,492",33,0.037,0,368000,%
India,0,0.0311,0.6499,0.681,17.3821,0.3061,9.9889,10.295,5.4333,1.5709,2.7906,0.1526,7.5213,38.6568,46.1781,0.0028,11.3357,0.356,11.6945,0.728,0.7487,1.4767,1.7471,0,1.7471,3.8,14.5,14.5,"34,273,300","458,186",0.024,0,1400100000,%
Indonesia,9.00E-04,0.1702,3.9386,4.1097,24.3918,0.4911,0.5943,1.0854,5.5134,0.0988,4.6343,0.0564,3.8558,43.7438,47.5996,0.0309,6.2575,1.0316,7.32,2.2113,0.8579,3.0692,1.8481,0,1.8481,6.9,8.3,8.3,"4,243,835","143,388",0.016,0.001,271739000,%
Iran (Islamic Republic of),0.002,0.1405,0.7813,0.9238,14.0141,0.4916,3.5808,4.0724,7.9235,0.4729,3.2877,0.6421,12.5207,42.0701,54.5908,0.5369,7.9295,2.3965,10.8629,0.054,0.7706,0.8246,2.198,0,2.198,25.5,4.9,4.9,"5,916,211","126,126",0.07,0.001,84150000,%
Iraq,0,0.0396,0.445,0.4846,24.0855,1.2467,1.9902,3.2369,6.4975,0.4807,1.0842,0.1268,4.9563,43.7165,48.6728,0.0423,6.2809,2.5171,8.8403,0.3037,2.0139,2.3176,3.3755,0,3.3755,27.4,29,29,"2,054,202","23,138",0.052,0.001,39725000,%
Ireland,5.00E-04,0.0831,1.1942,1.2778,6.3057,0.4653,11.9469,12.4122,3.3996,0.1325,3.5362,0.0836,4.951,31.4242,36.3752,0.871,18.5712,4.0102,23.4524,0.1733,0.7497,0.923,4.0147,0,4.0147,26.9,<2.5,2,"443,631","5,436",0.089,0.001,5003000,%
Israel,0.0017,0.2007,1.4696,1.672,7.6277,0.5664,10.9066,11.473,6.3746,0.364,1.9975,0.2262,8.8586,31.2472,40.1058,0.1026,18.7463,5.5003,24.3492,0.5233,1.6743,2.1976,1.7747,0,1.7747,26.7,<2.5,2,"1,327,126","8,085",0.144,0.001,9216000,%
Italy,5.00E-04,0.1194,1.5816,1.7015,8.5417,0.6247,12.1258,12.7505,6.0207,0.2781,1.9043,0.423,6.9463,30.9671,37.9134,0.2834,19.0329,4.2963,23.6126,0.1836,1.4224,1.606,1.7175,0,1.7175,22.9,<2.5,2,"4,767,440","132,074",0.079,0.002,60296000,%
