,healthy,,,,,,,,,,,,,,,unhealthy,,,,,,,,,,,,,,,,,,
Country,"Aquatic Products, Other",Offals,"Fish, Seafood","[Aquatic Products, Other] + [Offals] + [Fish, Seafood]",Cereals - Excluding Beer,Eggs,Milk - Excluding Butter,[Eggs] + [Milk - Excluding Butter],Fruits - Excluding Wine,Pulses,Starchy Roots,Treenuts,Vegetables,Vegetal Products,[Vegetables] + [Vegetal Products],Animal fats,Animal Products,Meat,[Animal fats] + [Animal Products] + [Meat],Oilcrops,Vegetable Oils,[Oilcrops] + [Vegetable Oils],Sugar & Sweeteners,Sugar Crops,[Sugar & Sweeteners] + [Sugar Crops],Obesity,Undernourished,*Undernourished,Confirmed,Deaths,Confirmed (%),Deaths (%),Population,Unit (all except Population)
Czechia,0,0.1068,0.29,0.3968,11.4011,0.5037,4.2735,4.7772,1.2821,0.29,1.7705,0.1984,0.9005,35.9737,36.8742,3.8156,14.0415,5.0366,22.8937,0.2442,8.1197,8.3639,6.1661,0,6.1661,28.5,<2.5,2,"1,757,821","30,736",0.164,0.003,10716000,%
Denmark,0,0.3252,0.9459,1.2711,13.3757,0.9607,5.439,6.3997,1.5814,0.1035,1.6553,0.5025,1.1676,32.2643,33.4319,5.0547,17.7505,5.0103,27.8155,0.3104,2.9116,3.222,7.1386,0,7.1386,21.3,<2.5,2,"389,132","2,715",0.067,0,5829000,%
Djibouti,0,0.1306,0.1493,0.2799,27.8918,0.0746,1.5858,1.6604,0.7836,2.3881,0.5597,0.0933,1.2127,46.2873,47.5,0.2799,3.7127,1.4925,5.4851,0.1119,6.25,6.3619,6.1754,0,6.1754,12.2,18.9,18.9,"13,478",181,0.014,0,988000,%
Dominica,0,0.1359,1.036,1.1719,11.3791,0.1529,3.9062,4.0591,5.8254,0.7133,5.9783,0.017,1.036,39.0625,40.0985,0.9341,10.9375,4.7724,16.644,1.4266,2.9721,4.3987,6.9633,0,6.9633,28.2,6.2,6.2,"4,783",32,0.066,0,72000,%
Dominican Republic,0,0.2445,0.2968,0.5413,13.3054,0.6286,2.9859,3.6145,7.421,1.5017,1.3794,0.0349,0.5762,41.3305,41.9067,0.7508,8.6782,3.7716,13.2006,1.1524,8.521,9.6734,5.413,0,5.413,26.9,9.5,9.5,"57,470","1,091",0.005,0,10500000,%
Ecuador,0,0.1353,0.2512,0.3865,23.4396,0.5411,3.4203,3.9614,2.5894,0.3285,1.0242,0.0386,0.4638,40.2319,40.6957,1.4879,9.7391,3.9227,15.1497,0.3671,7.1884,7.5555,3.6908,0,3.6908,19.3,7.9,7.9,"515,859","32,958",0.029,0.002,17511000,%
Egypt,0,0.2107,0.6322,0.8429,32.2144,0.1957,0.9935,1.1892,2.5591,0.6624,1.2645,0.0602,1.5806,45.7926,47.3732,0.5269,4.1999,1.6408,6.3676,0.7828,2.0623,2.8451,4.0644,0.3462,4.4106,31.1,4.5,4.5,"330,084","18,592",0.003,0,100803000,%
El Salvador,0,0.0564,0.2818,0.3382,22.6043,0.5825,3.4198,4.0023,1.9917,2.95,1.2026,0.0376,1.0898,41.9955,43.0853,1.3717,7.9857,2.2924,11.6498,1.4092,2.1984,3.6076,7.1965,0,7.1965,22.7,9,9,"113,422","3,622",0.018,0.001,6481000,%
Estonia,0,0.1387,0.339,0.4777,16.2121,0.7397,7.8132,8.5529,1.5411,0.4315,2.25,0.4469,1.2329,34.6741,35.907,1.9572,15.3336,4.3612,21.652,0.1387,2.4503,2.589,3.7756,0,3.7756,23.8,2.9,2.9,"192,092","1,516",0.144,0.001,1331000,%
Eswatini,0,0.1663,0.1663,0.3326,27.5468,0.1247,1.8295,1.9542,1.4969,0.7277,2.8274,0.1247,0.4158,44.4075,44.8233,0.5198,5.5925,2.7651,8.8774,0.7277,1.7464,2.4741,6.7152,0,6.7152,13.5,20.6,20.6,"46,413","1,242",0.042,0.001,1104000,%
