Country,"Aquatic Products, Other + Offals + Fish, Seafood",Cereals - Excluding Beer,Eggs + Milk - Excluding Butter,Fruits - Excluding Wine,Pulses,Starchy Roots,Treenuts,Vegetables + Vegetal Products,Animal fats + Animal Products + Meat,Oilcrops + Vegetable Oils,Sugar & Sweeteners + Sugar Crops,Obesity,Undernourished,Confirmed,Deaths,Confirmed (%),Deaths (%),Population
Pakistan,0.1934,23.3348,7.2411,0.6446,1.3537,0.7091,0.1289,38.9987,15.5351,5.9304,5.5006,7.8,20.3,1273078,28449,0.006,0,220940000
Panama,0.7923,21.2852,3.6443,2.3944,0.8803,0.6866,0.1408,39.7535,16.9718,4.6831,6.1972,22.5,10,472534,7315,0.11,0.002,4283000
Paraguay,0.4745,15.8241,3.121,1.1316,1.4054,7.1181,0,41.2302,15.1487,7.1181,5.0192,19,10.7,460974,16245,0.064,0.002,7255000
Peru,1.1557,21.2893,2.4377,3.485,1.4987,6.7895,0.0542,45.3232,7.9993,3.8823,4.2615,19.1,9.7,2200908,200217,0.067,0.006,32824000
Philippines,1.1593,28.5153,0.7293,2.6178,0.2244,1.6268,0.187,43.1937,13.5565,2.6926,4.0763,6,13.3,2783896,43044,0.025,0,109581000
Poland,0.5248,16.0545,3.5881,1.0637,0.2695,2.6521,0.1702,36.6047,25.1029,4.7369,6.2544,25.6,2,3018100,76990,0.079,0.002,38368000
Portugal,1.5468,13.9072,4.2824,2.3203,0.4583,1.7617,0.401,36.0068,24.9929,6.8319,3.6236,23.2,2,1089888,18156,0.106,0.002,10255000
Romania,0.3122,17.849,6.8956,1.7877,0.2838,2.5965,0.2554,38.6634,19.0976,5.3064,4.0153,24.5,2,1640607,47324,0.085,0.002,19241000
Rwanda,0.4064,9.4378,0.9032,8.8056,7.5638,16.5049,0,48.1147,3.4093,2.4836,1.4224,4.8,36.8,99681,1328,0.008,0,12952000
Saint Vincent and the Grenadines,0.6756,17.0777,2.6858,3.5473,1.3345,2.348,0.1351,40.7095,17.0777,3.9189,7.027,23.8,5.7,4951,66,0.045,0.001,111000
Sao Tome and Principe,1.1792,18.5974,0.662,8.854,0.7447,2.379,0,46.628,5.4614,11.295,3.2685,10.6,7,3712,56,0.018,0,210000
Saudi Arabia,0.4068,23.4585,3.0517,3.2707,0.7825,0.5321,0.266,43.1768,11.7215,7.4804,4.6479,35,7.1,548571,8793,0.016,0,35041000
