Country,"Aquatic Products, Other + Offals + Fish, Seafood",Cereals - Excluding Beer,Eggs + Milk - Excluding Butter,Fruits - Excluding Wine,Pulses,Starchy Roots,Treenuts,Vegetables + Vegetal Products,Animal fats + Animal Products + Meat,Oilcrops + Vegetable Oils,Sugar & Sweeteners + Sugar Crops,Obesity,Undernourished,Confirmed,Deaths,Confirmed (%),Deaths (%),Population
United Kingdom,1.1973,6.5412,12.9894,4.9551,0.2035,5.1133,0.0901,35.6967,23.5733,0.9612,2.4383,29.5,2,9062710,140981,0.135,0.002,67160000
United Republic of Tanzania,0.5828,10.4453,3.3906,6.8147,2.1761,13.937,0.042,49.1493,5.6327,2.1975,1.0345,7.1,30.7,26154,725,0,0,59734000
United States of America,1.1504,5.5048,13.6517,4.5432,0.1893,2.839,0.1772,34.4836,27.6678,1.3135,3.32,37.3,2,45953186,745668,0.139,0.002,329878000
Uruguay,0.7226,10.251,13.167,5.3746,0.1936,3.044,0.0131,36.0409,21.8828,1.3107,3.4102,28.9,2,393718,6077,0.112,0.002,3531000
Uzbekistan,0.2966,10.5365,12.1518,5.215,0.0022,2.8891,0.0649,50.3894,16.4437,0.6396,0.5796,15.3,6.3,185647,1321,0.005,0,34174000
Venezuela (Bolivarian Republic of),1.1534,12.9253,9.7309,7.646,0.3342,2.5643,9.00E-04,39.389,18.6296,1.4015,3.4106,25.2,21.2,406239,4884,0.014,0,28645000
Vietnam,3.0583,16.874,0.9146,5.9029,0.2032,1.0596,0.307,53.374,13.1787,1.0611,2.0996,2.1,9.3,915603,22030,0.01,0,96209000
Yemen,0.8067,27.2077,2.149,5.1344,0.8645,1.0794,0.0017,47.4261,8.6191,1.1704,5.0468,14.1,38.9,9779,1880,0,0,29826000
Zambia,1.9972,21.1938,2.0969,1.0183,0.1756,7.9649,0.0014,47.4438,7.9453,2.5393,1.5632,6.5,46.7,209722,3661,0.011,0,18384000
Zimbabwe,0.7604,22.624,4.6988,2.2,0.4261,2.987,0.0518,44.1739,10.8386,2.1601,4.6485,12.3,51.3,132926,4675,0.009,0,14863000
